id,basePrice,graphicID,groupID,iconID,marketGroupID,metaGroupID,cn_name,en_name,volume
0,,,0,,,,"#星系","#System",
2,,,2,,,,军团,Corporation,
3,,,3,,,,星域,Region,1.0
4,,,4,,,,星座,Constellation,1.0
5,,,5,,,,星系,Solar System,1.0
6,,21457,6,,,,恒星G5(黄色),Sun G5 (Yellow),1
7,,21459,6,,,,恒星K7(橙色),Sun K7 (Orange),1
8,,21462,6,,,,恒星K5(红色巨型),Sun K5 (Red Giant),1
9,,21464,6,,,,恒星B0(蓝色),Sun B0 (Blue),1
10,,21466,6,,,,恒星F0 (白色),Sun F0 (White),1
11,,3832,7,10136,,,行星（温和）,Planet (Temperate),1.0
12,,3834,7,10137,,,行星（冰体）,Planet (Ice),1.0
13,,3833,7,10139,,,行星（气体）,Planet (Gas),1.0
14,,10,8,10141,,,卫星,Moon,1.0
15,,,9,15,,,小行星带,Asteroid Belt,1.0
16,,235,10,,,,星门（加达里星系）,Stargate (Caldari System),1.0E7
17,,236,10,,,,星门（艾玛星座）,Stargate (Amarr Constellation),1.0E8
18,12800.0,,458,230,516,,斜长岩,Plagioclase,0.35
19,1149400.0,,461,1274,517,,灰岩,Spodumain,16.0
20,74916.0,,457,1270,523,,水硼砂,Kernite,1.2
21,337408.0,,454,1269,527,,同位原矿,Hedbergite,3.0
22,3068504,,450,1277,512,,艾克诺岩,Arkonor,16
23,,1176,12,16,,,集装箱货柜,Cargo Container,27500.0
24,,,13,0,,,环状星体,Ring,1.0
25,,20373,14,398,,,男性尸体,Corpse Male,2
26,,,16,,,,军团办公室选项夹,Office Folder,1.0
27,,,16,,,,军团办公室,Office,1.0
28,,,16,,,,工厂信息选项夹,Factory Folder,1.0
29,,,17,21,,,星币,Credits,
30,,,19,,,,势力,Faction,
34,2.0,,18,22,1857,,三钛合金,Tritanium,0.01
35,8.0,,18,400,1857,,类晶体胶矿,Pyerite,0.01
36,32.0,,18,401,1857,,类银超金属,Mexallon,0.01
37,128.0,,18,402,1857,,同位聚合体,Isogen,0.01
38,512.0,,18,1201,1857,,超新星诺克石,Nocxium,0.01
39,2048.0,,18,404,1857,,晶状石英核岩,Zydrine,0.01
40,8192.0,,18,405,1857,,超噬矿,Megacyte,0.01
41,20.0,,280,1179,20,,垃圾,Garbage,0.25
42,1500.0,,280,27,492,,香料汽水,Spiced Wine,0.5
43,325.0,,280,28,492,,抗生素,Antibiotics,0.2
44,5000.0,,1034,29,1335,,核能燃料,Enriched Uranium,1.5
45,75.0,,281,1200,492,,冷藏植物种子,Frozen Plant Seeds,0.5
49,,,24,,,,PK,Player Kill,
50,,,24,2243,,,军团股份,Company Shares,
51,,,24,1700,,,位标,Bookmark,
52,,,94,,,,贸易,Trading,
53,,,95,,,,贸易市场,Trade Session,
54,600000.0,237,15,,,,空间站（加达里4）,Caldari Logistics Station,1.0
56,600000.0,2307,15,,,,空间站（盖伦特1）,Gallente Military Station,1.0
57,600000.0,2306,15,,,,空间站（盖伦特2）,"Gallente Station Hub ",1.0
58,600000.0,,15,,,,CO1,C-O-1,1.0
59,600000.0,,15,,,,CO2,C-O-2,1.0
60,,1174,1319,16,,,资产安全包裹,Asset Safety Wrap,1
164,,,23,34,,,A级克隆,Clone Grade Alpha,1.0
165,28000.0,,23,34,,,B级克隆,Clone Grade Beta,1.0
166,45500.0,,23,34,,,C级克隆,Clone Grade Gamma,1.0
178,200.0,1308,83,1004,113,,碳铅弹 S,Carbonized Lead S,0.0025
179,300.0,1288,83,1288,113,,核芯弹 S,Nuclear S,0.0025
180,400.0,1290,83,1290,113,,质子弹 S,Proton S,0.0025
181,500.0,1285,83,1285,113,,硬钼弹 S,Depleted Uranium S,0.0025
182,600.0,1291,83,1291,113,,钛合金萨博弹 S,Titanium Sabot S,0.0025
183,700.0,1287,83,1287,113,,聚变弹 S,Fusion S,0.0025
184,800.0,1289,83,1289,113,,定相等离子弹 S,Phased Plasma S,0.0025
185,1000.0,1286,83,1286,113,,电磁脉冲弹 S,EMP S,0.0025
186,800.0,1292,83,1292,112,,碳铅弹 M,Carbonized Lead M,0.0125
187,1200.0,1296,83,1296,112,,核芯弹 M,Nuclear M,0.0125
188,1650.0,1298,83,1298,112,,质子弹 M,Proton M,0.0125
189,2050.0,1293,83,1293,112,,硬钼弹 M,Depleted Uranium M,0.0125
190,2350.0,1299,83,1299,112,,钛合金萨博弹 M,Titanium Sabot M,0.0125
191,2750.0,1295,83,1295,112,,聚变弹 M,Fusion M,0.0125
192,3250.0,1297,83,1297,112,,定相等离子弹 M,Phased Plasma M,0.0125
193,4000.0,1294,83,1294,112,,电磁脉冲弹 M,EMP M,0.0125
194,2000.0,1300,83,1300,109,,碳铅弹 L,Carbonized Lead L,0.025
195,3000.0,1304,83,1304,109,,核芯弹 L,Nuclear L,0.025
196,4000.0,1306,83,1306,109,,质子弹 L,Proton L,0.025
197,5000.0,1301,83,1301,109,,硬钼弹 L,Depleted Uranium L,0.025
198,6000.0,1307,83,1307,109,,钛合金萨博弹 L,Titanium Sabot L,0.025
199,7000.0,1303,83,1303,109,,聚变弹 L,Fusion L,0.025
200,8000.0,1305,83,1305,109,,定相等离子弹 L,Phased Plasma L,0.025
201,10000.0,1302,83,1302,109,,电磁脉冲弹 L,EMP L,0.025
202,15000.0,20041,386,182,921,,雷神巡航导弹,Mjolnir Cruise Missile,0.05
203,10000.0,20043,386,183,921,,鞭挞巡航导弹,Scourge Cruise Missile,0.05
204,12500.0,20040,386,184,921,,炼狱巡航导弹,Inferno Cruise Missile,0.05
205,7500.0,20042,386,185,921,,星爆巡航导弹,Nova Cruise Missile,0.05
206,2000.0,20050,385,186,924,,星爆重型导弹,Nova Heavy Missile,0.03
207,3500.0,20049,385,187,924,,雷神重型导弹,Mjolnir Heavy Missile,0.03
208,3000.0,20048,385,188,924,,炼狱重型导弹,Inferno Heavy Missile,0.03
209,2500.0,20051,385,189,924,,鞭挞重型导弹,Scourge Heavy Missile,0.03
210,500.0,20064,384,190,920,,鞭挞轻型导弹,Scourge Light Missile,0.015
211,624.0,20061,384,191,920,,炼狱轻型导弹,Inferno Light Missile,0.015
212,750.0,20062,384,192,920,,雷神轻型导弹,Mjolnir Light Missile,0.015
213,370.0,20063,384,193,920,,星爆轻型导弹,Nova Light Missile,0.015
215,200.0,1311,85,1311,107,,铁质轨道弹 S,Iron Charge S,0.0025
216,300.0,1315,85,1315,107,,钨质轨道弹 S,Tungsten Charge S,0.0025
217,400.0,1310,85,1310,107,,铱质轨道弹 S,Iridium Charge S,0.0025
218,500.0,1312,85,1312,107,,铅质轨道弹 S,Lead Charge S,0.0025
219,600.0,1314,85,1314,107,,钍质轨道弹 S,Thorium Charge S,0.0025
220,700.0,1316,85,1316,107,,钼质轨道弹 S,Uranium Charge S,0.0025
221,800.0,1313,85,1313,107,,锰质轨道弹 S,Plutonium Charge S,0.0025
222,1000.0,1047,85,1047,107,,反物质轨道弹 S,Antimatter Charge S,0.0025
223,800.0,1319,85,1319,108,,铁质轨道弹 M,Iron Charge M,0.0125
224,1100.0,1323,85,1323,108,,钨质轨道弹 M,Tungsten Charge M,0.0125
225,1500.0,1318,85,1318,108,,铱质轨道弹 M,Iridium Charge M,0.0125
226,1750.0,1320,85,1320,108,,铅质轨道弹 M,Lead Charge M,0.0125
227,2250.0,1322,85,1322,108,,钍质轨道弹 M,Thorium Charge M,0.0125
228,2750.0,1324,85,1324,108,,钼质轨道弹 M,Uranium Charge M,0.0125
229,3250.0,1321,85,1321,108,,锰质轨道弹 M,Plutonium Charge M,0.0125
230,4000.0,1317,85,1317,108,,反物质轨道弹 M,Antimatter Charge M,0.0125
231,2000.0,1327,85,1327,106,,铁质轨道弹 L,Iron Charge L,0.025
232,3000.0,1331,85,1331,106,,钨质轨道弹 L,Tungsten Charge L,0.025
233,4000.0,1326,85,1326,106,,铱质轨道弹 L,Iridium Charge L,0.025
234,5000.0,1328,85,1328,106,,铅质轨道弹 L,Lead Charge L,0.025
235,6000.0,1330,85,1330,106,,钍质轨道弹 L,Thorium Charge L,0.025
236,7000.0,1332,85,1332,106,,钼质轨道弹 L,Uranium Charge L,0.025
237,8000.0,1329,85,1329,106,,锰质轨道弹 L,Plutonium Charge L,0.025
238,10000.0,1325,85,1325,106,,反物质轨道弹 L,Antimatter Charge L,0.025
239,,1145,86,1145,102,,射频晶体 S,Radio S,1.0
240,,1143,86,1143,102,,微波晶体 S,Microwave S,1.0
241,,1144,86,1144,102,,红外晶体 S,Infrared S,1.0
242,,1142,86,1142,102,,标准晶体 S,Standard S,1.0
243,,1141,86,1141,102,,紫外晶体 S,Ultraviolet S,1.0
244,,1140,86,1140,102,,X射线晶体 S,Xray S,1.0
245,,1139,86,1139,102,,伽玛晶体 S,Gamma S,1.0
246,,1131,86,1131,102,,多频晶体 S,Multifrequency S,1.0
247,,1145,86,1145,103,,射频晶体 M,Radio M,1.0
248,,1143,86,1143,103,,微波晶体 M,Microwave M,1.0
249,,1144,86,1144,103,,红外晶体 M,Infrared M,1.0
250,,1142,86,1142,103,,标准晶体 M,Standard M,1.0
251,,1141,86,1141,103,,紫外晶体 M,Ultraviolet M,1.0
252,,1140,86,1140,103,,X射线晶体 M,Xray M,1.0
253,,1139,86,1139,103,,伽玛晶体 M,Gamma M,1.0
254,,1131,86,1131,103,,多频晶体 M,Multifrequency M,1.0
255,,1145,86,1145,105,,射频晶体 L,Radio L,1.0
256,,1143,86,1143,105,,微波晶体 L,Microwave L,1.0
257,,1144,86,1144,105,,红外晶体 L,Infrared L,1.0
258,,1142,86,1142,105,,标准晶体 L,Standard L,1.0
259,,1141,86,1141,105,,紫外晶体 L,Ultraviolet L,1.0
260,,1140,86,1140,105,,X射线晶体 L,Xray L,1.0
261,,1139,86,1139,105,,伽玛晶体 L,Gamma L,1.0
262,,1131,86,1131,105,,多频晶体 L,Multifrequency L,1.0
