681,B级克隆蓝图,Clone Grade Beta Blueprint,
682,C级克隆蓝图,Clone Grade Gamma Blueprint,
683,矮脚鸡级蓝图,Bantam Blueprint,
684,秃鹫级蓝图,Condor Blueprint,
685,狮鹫级蓝图,Griffin Blueprint,
686,鱼鹰级蓝图,Osprey Blueprint,
687,狞獾级蓝图,Caracal Blueprint,
688,乌鸦级蓝图,Raven Blueprint,
689,伐木者级蓝图,Slasher Blueprint,
690,探索级蓝图,Probe Blueprint,
691,裂谷级蓝图,Rifter Blueprint,
692,刺客级蓝图,Stabber Blueprint,
693,狂暴级蓝图,Tempest Blueprint,
785,采矿器蓝图 I,Miner I Blueprint,
786,轻型导弹发射器蓝图 I,Light Missile Launcher I Blueprint,
788,重型导弹发射器蓝图 I,Heavy Missile Launcher I Blueprint,
790,鱼雷发射器蓝图 I,Torpedo Launcher I Blueprint,
803,雷神巡航导弹蓝图,Mjolnir Cruise Missile Blueprint,
804,鞭挞巡航导弹蓝图,Scourge Cruise Missile Blueprint,
805,炼狱巡航导弹蓝图,Inferno Cruise Missile Blueprint,
806,星爆巡航导弹蓝图,Nova Cruise Missile Blueprint,
807,星爆重型导弹蓝图,Nova Heavy Missile Blueprint,
808,雷神重型导弹蓝图,Mjolnir Heavy Missile Blueprint,
809,炼狱重型导弹蓝图,Inferno Heavy Missile Blueprint,
810,鞭挞重型导弹蓝图,Scourge Heavy Missile Blueprint,
811,鞭挞轻型导弹蓝图,Scourge Light Missile Blueprint,
812,炼狱轻型导弹蓝图,Inferno Light Missile Blueprint,
813,雷神轻型导弹蓝图,Mjolnir Light Missile Blueprint,
814,星爆轻型导弹蓝图,Nova Light Missile Blueprint,
819,125mm加特林自动加农炮蓝图 I,125mm Gatling AutoCannon I Blueprint,
820,150mm轻型自动加农炮蓝图 I,150mm Light AutoCannon I Blueprint,
821,200mm自动加农炮蓝图 I,200mm AutoCannon I Blueprint,
822,250mm轻型加农炮蓝图 I,250mm Light Artillery Cannon I Blueprint,
823,280mm榴弹炮蓝图 I,280mm Howitzer Artillery I Blueprint,
824,双联180mm自动加农炮蓝图 I,Dual 180mm AutoCannon I Blueprint,
825,220mm火神自动加农炮蓝图 I,220mm Vulcan AutoCannon I Blueprint,
826,425mm自动加农炮蓝图 I,425mm AutoCannon I Blueprint,
827,650mm加农炮蓝图 I,650mm Artillery Cannon I Blueprint,
828,720mm榴弹炮蓝图 I,720mm Howitzer Artillery I Blueprint,
829,双联425mm自动加农炮蓝图 I,Dual 425mm AutoCannon I Blueprint,
830,双联650mm频射加农炮蓝图 I,Dual 650mm Repeating Cannon I Blueprint,
831,800mm频射加农炮蓝图 I,800mm Repeating Cannon I Blueprint,
832,1200mm加农炮蓝图 I,1200mm Artillery Cannon I Blueprint,
833,1400mm榴弹炮蓝图 I,1400mm Howitzer Artillery I Blueprint,
834,加特林脉冲激光器蓝图 I,Gatling Pulse Laser I Blueprint,
835,双联轻型脉冲激光器蓝图 I,Dual Light Pulse Laser I Blueprint,
836,双联轻型集束激光器蓝图 I,Dual Light Beam Laser I Blueprint,
837,小型聚焦脉冲激光器 I 蓝图,Small Focused Pulse Laser I Blueprint,
838,小型聚焦集束激光器 I 蓝图,Small Focused Beam Laser I Blueprint,
839,四联轻型集束激光器蓝图 I,Quad Light Beam Laser I Blueprint,
840,聚焦中型脉冲激光器蓝图 I,Focused Medium Pulse Laser I Blueprint,
841,聚焦中型集束激光器蓝图 I,Focused Medium Beam Laser I Blueprint,
842,重型脉冲激光器蓝图 I,Heavy Pulse Laser I Blueprint,
843,重型集束激光器蓝图 I,Heavy Beam Laser I Blueprint,
844,双联重型脉冲激光器蓝图 I,Dual Heavy Pulse Laser I Blueprint,
845,双联重型集束激光器蓝图 I,Dual Heavy Beam Laser I Blueprint,
846,超级脉冲激光器蓝图 I,Mega Pulse Laser I Blueprint,
847,超级集束激光器蓝图 I,Mega Beam Laser I Blueprint,
848,超光速粒子集束激光器蓝图 I,Tachyon Beam Laser I Blueprint,
879,碳铅弹蓝图 S,Carbonized Lead S Blueprint,
880,核芯弹蓝图 S,Nuclear S Blueprint,
